"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","","61","0","","0"
"0","","0","Smoke Test Frontend","1","0","Simulación","0"
"0","","0","POST /teams/","7","0","Validación 422","0"
"0","","0","Smoke Test Frontend","1","0","Interacción usuario","0"
"0","","0","Smoke Test Frontend","1","0","Dashboard","0"
"0","","0","Smoke Test Frontend","1","0","Datos","0"
"0","","0","PUT /teams/{id}","1","0","Happy path","0"
"0","","0","POST /teams/","2","0","Duplicados","0"
"0","","0","POST /teams/","2","0","Happy path","0"
"0","","0","Smoke Test Frontend","1","0","Responsive","0"
"0","","0","Smoke Test Frontend","1","0","Carga y navegación","0"
"0","","0","DELETE /teams/{id}","1","0","Happy path","0"
"0","","0","GET /teams/{id}","1","0","Edge cases","0"
"0","","0","GET /teams/","1","0","Happy path","0"
"0","","0","GET /teams/{id}","1","0","Happy path","0"
