"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","562","test_simulator_run_group_positions_unique","tests","2026-06-18","passed","2026-06-18","","test_simulator","",""
"","744","test_simulator_run_exact_match_counts","tests","2026-06-18","passed","2026-06-18","","test_simulator","",""
"","563","test_dashboard_champion_consistency","tests","2026-06-18","passed","2026-06-18","","test_dashboard","",""
"","2257","SMK-03: Simulación y Campeón se muestran correctamente","tests","2026-06-18","passed","2026-06-18","","test_frontend_smoke","",""
"","663","test_simulator_run_knockout_winner_consistency","tests","2026-06-18","passed","2026-06-18","","test_simulator","",""
"","6","Code ausente del body → 422","tests","2026-06-18","passed","2026-06-18","","test_teams","",""
"","21","test_team_abm_code_unique","tests","2026-06-18","passed","2026-06-18","","test_simulator","",""
"","726","test_simulator_run_response_structure","tests","2026-06-18","passed","2026-06-18","","test_simulator","",""
"","46","test_delete_player","tests","2026-06-18","passed","2026-06-18","","test_players","",""
"","559","test_dashboard_total_goals_positive","tests","2026-06-18","passed","2026-06-18","","test_dashboard","",""
"","2054","SMK-02: Botón Simular y Spinner funcionan","tests","2026-06-18","passed","2026-06-18","","test_frontend_smoke","",""
"","513","test_dashboard_champion_is_final_winner","tests","2026-06-18","passed","2026-06-18","","test_dashboard","",""
"","2054","SMK-04: Dashboard Ejecutivo muestra datos consistentes","tests","2026-06-18","passed","2026-06-18","","test_frontend_smoke","",""
"","2049","SMK-05: Equipos agrupados en 8 grupos × 4 equipos","tests","2026-06-18","passed","2026-06-18","","test_frontend_smoke","",""
"","22","Actualizar equipo correctamente","tests","2026-06-18","passed","2026-06-18","","test_teams","",""
"","576","test_dashboard_response_structure","tests","2026-06-18","passed","2026-06-18","","test_dashboard","",""
"","776","test_simulator_run_some_teams_have_players","tests","2026-06-18","passed","2026-06-18","","test_simulator","",""
"","34","test_team_abm_get_with_players","tests","2026-06-18","passed","2026-06-18","","test_simulator","",""
